Script ID,Sentence,VT,Ambig ,Comp Q,Resp,,,,,
E1I1,The struggling pupil understood the message was important for his grade.,DO,Ambiguous,Was the message important for the student’s success?,Y,,,,,
E1I2,The job applicant emphasized the problems couldn't be resolved by Friday.,DO,Ambiguous,Could the issue be resolved by the end of the work week?,N,,,,,
E1I3,The bestselling author wrote the essay was based on autobiographical events.,DO,Ambiguous,Was the essay based on the author’s life?,Y,,,,,
E1I4,The curious toddler learned the equations gave her brother a headache.,DO,Ambiguous,Did the equations frustrate her brother?,Y,,,,,
E1I5,The abashed publicist confirmed the rumor was started by his daughter.,DO,Ambiguous,Did the publicist’s daughter generate the rumor?,Y,,,,,
E1I6,The vehement columnist asserted the belief was drastically misleading the masses.,DO,Ambiguous,Did the columnist think the opinion was correct?,N,,,,,
E1I7,The apprentice mechanic maintained the machinery was broken beyond repair.,DO,Ambiguous,Could the machine be fixed?,N,,,,,
E1I8,The befuddled foreigner repeated the poem did not make logical sense.,DO,Ambiguous,Did the foreigner understand the poem?,N,,,,,
E2I1,The popular cheerleader heard that the story had gone all over school.,DO,Unambiguous,Was the story contained?,N,,,,,
E2I2,The school staff printed that the article was stolen from the office.,DO,Unambiguous,Was the article taken from the office?,Y,,,,,
E2I3,The absent-minded grandmother forgot that the key was still in her pocket.,DO,Unambiguous,Was the key in a drawer?,N,,,,,
E2I4,The ignorant citizen advocated that the strategy would promote nuclear power.,DO,Unambiguous,Did the citizen believe the strategy supported nuclear power?,Y,,,,,
E2I5,The adventurous sailor discovered that the wreck contained several rare medicinal plants.,DO,Unambiguous,Were rare plants housed in the wreck?,Y,,,,,
E2I6,The aging hippie protested that the policy was started for selfish reasons.,DO,Unambiguous,Was the policy started for compassionate reasons?,N,,,,,
E2I7,The enthusiastic manager accepted that the money was intended for her client.,DO,Unambiguous,Was the money for the manager?,N,,,,,
E2I8,The tour guide warned that the spectators were scared by ghost sightings.,DO,Unambiguous,Were the observers frightened?,Y,,,,,
E3I1,The respected actress suggested the scene had been written very poorly.,SC,Ambiguous,Was the actress satisfied?,N,,,,,
